vat,name,city,address,zipcode,latitude,longitude
26911745,KMD A/S,Ballerup,Lautrupparken 40,2750,55.73613,12.393105
13594376,"PFA PENSION, FORSIKRINGSAKTIESELSKAB.",København Ø,Sundkrogsgade 4,2100,55.708655,12.591288
40916458,Dynatest A/S,Ballerup,Tempovej 27,2750,55.723369,12.376387
42334219,OTICON A/S,Smørum,Kongebakken 9,2765,55.749182,12.294416
78040017,TOPDANMARK A/S,Ballerup,Borupvang 4,2750,55.734142,12.380579
10121361,NORTHTECH ApS,København K,"Wildersgade 51, 1",1408,55.674321,12.591612
14814833,Netcompany A/S,København K,"Grønningen 17, 1",1270,55.689618,12.590014
24256790,NOVO NORDISK A/S,Bagsværd,Novo Alle 1,2880,55.754555,12.455185
29177015,FORMPIPE SOFTWARE A/S,Ballerup,Lautrupvang 1,2750,55.733204,12.391164
27506488,ALPHA SOLUTIONS A/S,København K,"Gothersgade 14, 4",1123,55.682038,12.583964
61966617,DAFOLO A/S,Frederikshavn,Suderbovej 22-24,9900,57.4455297,10.4937435
40075291,Nuuday A/S,København SV,Teglholmsgade 1,2450,55.653577,12.544796
